sec,nanosec,child_frame_id,orientation_x,orientation_y,orientation_z,orientation_w,,,,,,,,,,twist_angular_x,twist_angular_y,twist_angular_z,,,,,,,,,,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,,,,,,,,,
1741043606,797834069,base_link,0.000285119,0.004047594,0.91717875,-0.39845556,0,0,0,0,0,0,0,0,0,-0.122070313,-0.366210938,-0.122070313,0,0,0,0,0,0,0,0,0,0.00390625,0.007324219,1.014160156,0,0,0,0,0,0,0,0,0
1741043606,822590659,base_link,0.00067006,0.003835503,0.9171956181526184,-0.398418158,0,0,0,0,0,0,0,0,0,-0.305175781,-0.427246094,-0.427246094,0,0,0,0,0,0,0,0,0,0.004394531,0.006835938,1.013671875,0,0,0,0,0,0,0,0,0
1741043606,842691902,base_link,0.000365118,0.002843774,0.9172132015228271,-0.398386538,0,0,0,0,0,0,0,0,0,-0.305175781,-0.183105469,-0.305175781,0,0,0,0,0,0,0,0,0,0.002929688,0.005859375,1.014648438,0,0,0,0,0,0,0,0,0
1741043606,863304319,base_link,0.000500754,0.003410384,0.9172335863113403,-0.398334861,0,0,0,0,0,0,0,0,0,-0.061035156,0.122070313,-0.183105469,0,0,0,0,0,0,0,0,0,0.003417969,0.005859375,1.012207031,0,0,0,0,0,0,0,0,0
1741043606,882906389,base_link,-0.000210117,0.003871093,0.9172547459602356,-0.398282349,0,0,0,0,0,0,0,0,0,-0.122070313,0,-0.305175781,0,0,0,0,0,0,0,0,0,0.002929688,0.007324219,1.015136719,0,0,0,0,0,0,0,0,0
1741043606,903823898,base_link,0.000532689,0.004284744,0.917266846,-0.398249954,0,0,0,0,0,0,0,0,0,-0.061035156,-0.427246094,-0.244140625,0,0,0,0,0,0,0,0,0,0.00390625,0.0078125,1.014648438,0,0,0,0,0,0,0,0,0
1741043606,922879626,base_link,0.000524103,0.004256182,0.9172903299331665,-0.398195982,0,0,0,0,0,0,0,0,0,-0.122070313,-0.427246094,-0.48828125,0,0,0,0,0,0,0,0,0,0.004394531,0.007324219,1.015625,0,0,0,0,0,0,0,0,0
1741043606,939304381,base_link,0.000794261,0.00391572,0.917302668,-0.398170799,0,0,0,0,0,0,0,0,0,-0.122070313,0.061035156,-0.305175781,0,0,0,0,0,0,0,0,0,0.004882813,0.006835938,1.015136719,0,0,0,0,0,0,0,0,0
1741043606,959036116,base_link,0.000177919,0.004395749,0.9173117876052856,-0.398145407,0,0,0,0,0,0,0,0,0,-0.122070313,0.305175781,0,0,0,0,0,0,0,0,0,0,0.00390625,0.0078125,1.014160156,0,0,0,0,0,0,0,0,0
1741043606,982728247,base_link,0.000491718,0.003972329,0.9173351526260376,-0.398095906,0,0,0,0,0,0,0,0,0,-0.183105469,0,-0.122070313,0,0,0,0,0,0,0,0,0,0.004394531,0.007324219,1.012695313,0,0,0,0,0,0,0,0,0
1741043607,2887027,base_link,-6.53E-05,0.004510886,0.917355478,-0.398043394,0,0,0,0,0,0,0,0,0,-0.183105469,-0.427246094,-0.366210938,0,0,0,0,0,0,0,0,0,0.003417969,0.008300781,1.015136719,0,0,0,0,0,0,0,0,0
1741043607,22983790,base_link,-0.000515428,0.003970318,0.9173754453659058,-0.398002893,0,0,0,0,0,0,0,0,0,-0.122070313,-0.48828125,-0.305175781,0,0,0,0,0,0,0,0,0,0.002441406,0.0078125,1.014648438,0,0,0,0,0,0,0,0,0
1741043607,42836455,base_link,0.000639988,0.003196222,0.9173957109451294,-0.397963107,0,0,0,0,0,0,0,0,0,-0.061035156,-0.122070313,-0.366210938,0,0,0,0,0,0,0,0,0,0.00390625,0.005371094,1.014648438,0,0,0,0,0,0,0,0,0
1741043607,62953442,base_link,0.000345391,0.004006237,0.9174076318740845,-0.397928536,0,0,0,0,0,0,0,0,0,-0.183105469,0.244140625,-0.122070313,0,0,0,0,0,0,0,0,0,0.00390625,0.006835938,1.015136719,0,0,0,0,0,0,0,0,0
1741043607,82708634,base_link,-0.000424731,0.003888795,0.9174317121505737,-0.397874027,0,0,0,0,0,0,0,0,0,-0.122070313,-0.061035156,-0.122070313,0,0,0,0,0,0,0,0,0,0.002441406,0.007324219,1.012695313,0,0,0,0,0,0,0,0,0
1741043607,97720574,base_link,0.000720137,0.004452694,0.917453408,-0.397817701,0,0,0,0,0,0,0,0,0,-0.305175781,-0.48828125,-0.427246094,0,0,0,0,0,0,0,0,0,0.004882813,0.0078125,1.012695313,0,0,0,0,0,0,0,0,0
1741043607,117995323,base_link,2.9165483283577487e-05,0.004670312,0.9174714684486389,-0.397774279,0,0,0,0,0,0,0,0,0,-0.183105469,-0.366210938,-0.366210938,0,0,0,0,0,0,0,0,0,0.00390625,0.008789063,1.015625,0,0,0,0,0,0,0,0,0
1741043607,142639624,base_link,-0.000526899,0.004437894,0.9174912571907043,-0.397730798,0,0,0,0,0,0,0,0,0,-0.183105469,-0.061035156,-0.305175781,0,0,0,0,0,0,0,0,0,0.002929688,0.008300781,1.014648438,0,0,0,0,0,0,0,0,0
1741043607,158882617,base_link,-0.000569241,0.003781068,0.9175121188163757,-0.3976897,0,0,0,0,0,0,0,0,0,0,0.183105469,-0.122070313,0,0,0,0,0,0,0,0,0,0.001953125,0.007324219,1.015136719,0,0,0,0,0,0,0,0,0
1741043607,183138786,base_link,0.000328025,0.00381042,0.9175246357917786,-0.397660702,0,0,0,0,0,0,0,0,0,-0.183105469,0.061035156,-0.122070313,0,0,0,0,0,0,0,0,0,0.00390625,0.006835938,1.015625,0,0,0,0,0,0,0,0,0
1741043607,198298375,base_link,0.00060398,0.004986062,0.917536736,-0.397619456,0,0,0,0,0,0,0,0,0,-0.244140625,-0.549316406,-0.244140625,0,0,0,0,0,0,0,0,0,0.004882813,0.008300781,1.012695313,0,0,0,0,0,0,0,0,0
1741043607,224246402,base_link,0.000401866,0.004229957,0.9175626039505005,-0.397568673,0,0,0,0,0,0,0,0,0,-0.305175781,-0.366210938,-0.427246094,0,0,0,0,0,0,0,0,0,0.00390625,0.006835938,1.014648438,0,0,0,0,0,0,0,0,0
