# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.1700,-1.8300,0.4272,0.4272
-2.1200,-1.8300,0.4243,0.4243
-2.0700,-1.7800,0.4243,0.4243
-2.0200,-1.7300,0.4031,0.4031
-1.9700,-1.6800,0.3905,0.3905
-1.9200,-1.6300,0.3808,0.3808
-1.8700,-1.6300,0.3905,0.3905
-1.8200,-1.5800,0.3808,0.3808
-1.7700,-1.5300,0.3606,0.3606
-1.7200,-1.4800,0.3536,0.3536
-1.7200,-1.4300,0.3202,0.3202
-1.6700,-1.3800,0.3354,0.3354
-1.6700,-1.3300,0.3162,0.3162
-1.6700,-1.2800,0.3041,0.3041
-1.6700,-1.2300,0.3000,0.3000
-1.6700,-1.1800,0.3000,0.3000
-1.7200,-1.1300,0.2500,0.2500
-1.7200,-1.0800,0.2500,0.2500
-1.7200,-1.0300,0.2550,0.2550
-1.7200,-0.9800,0.2693,0.2693
-1.7200,-0.9300,0.2693,0.2693
-1.7200,-0.8800,0.2550,0.2550
-1.7200,-0.8300,0.2500,0.2500
-1.7700,-0.7800,0.3000,0.3000
-1.7700,-0.7300,0.3000,0.3000
-1.7700,-0.6800,0.3041,0.3041
-1.7700,-0.6300,0.3162,0.3162
-1.7700,-0.5800,0.3354,0.3354
-1.7700,-0.5300,0.3202,0.3202
-1.7200,-0.4800,0.3202,0.3202
-1.6700,-0.4800,0.3202,0.3202
-1.6200,-0.4800,0.2915,0.2915
-1.5700,-0.4300,0.3162,0.3162
-1.5200,-0.4300,0.3041,0.3041
-1.4700,-0.4300,0.3000,0.3000
-1.4200,-0.4300,0.3041,0.3041
-1.3700,-0.4300,0.3162,0.3162
-1.3200,-0.3800,0.3808,0.3808
-1.2700,-0.3800,0.4031,0.4031
-1.2200,-0.3800,0.4301,0.4301
-1.1700,-0.3800,0.4610,0.4610
-1.1200,-0.3300,0.5148,0.5148
-1.0700,-0.3300,0.5408,0.5408
-1.0200,-0.3300,0.5701,0.5701
-0.9700,-0.3300,0.6000,0.6000
-0.9200,-0.3300,0.6000,0.6000
-0.8700,-0.3300,0.6000,0.6000
-0.8200,-0.3300,0.6000,0.6000
-0.7700,-0.3800,0.6500,0.6500
-0.7200,-0.3800,0.6500,0.6500
-0.6700,-0.3800,0.6500,0.6500
-0.6200,-0.3800,0.6500,0.6500
-0.5700,-0.3800,0.6500,0.6500
-0.5200,-0.3800,0.6500,0.6500
-0.4700,-0.3800,0.6500,0.6500
-0.4200,-0.3800,0.6500,0.6500
-0.3700,-0.3800,0.6500,0.6500
-0.3200,-0.3800,0.6500,0.6500
-0.2700,-0.3800,0.6500,0.6500
-0.2200,-0.3800,0.6500,0.6500
-0.1700,-0.3800,0.6500,0.6500
-0.1200,-0.3300,0.6185,0.6185
-0.0700,-0.3300,0.6325,0.6325
-0.0200,-0.3300,0.6500,0.6500
0.0300,-0.3300,0.6500,0.6500
0.0800,-0.3300,0.6500,0.6500
0.1300,-0.3300,0.6500,0.6500
0.1800,-0.3300,0.6500,0.6500
0.2300,-0.3300,0.6500,0.6500
0.2800,-0.3300,0.6325,0.6325
0.3300,-0.2800,0.6083,0.6083
0.3800,-0.2800,0.6185,0.6185
0.4300,-0.2800,0.6325,0.6325
0.4800,-0.2800,0.6500,0.6500
0.5300,-0.2800,0.6325,0.6325
0.5800,-0.2800,0.6185,0.6185
0.6300,-0.2800,0.6083,0.6083
0.6800,-0.2300,0.6021,0.6021
0.7300,-0.1800,0.5590,0.5590
0.7800,-0.1800,0.5701,0.5701
0.8300,-0.1800,0.5852,0.5852
0.8800,-0.1800,0.6000,0.6000
0.9300,-0.1800,0.5831,0.5831
0.9800,-0.1800,0.5590,0.5590
1.0300,-0.1800,0.5385,0.5385
1.0800,-0.1800,0.5220,0.5220
1.1300,-0.1800,0.5099,0.5099
1.1800,-0.1300,0.5523,0.5523
1.2300,-0.1300,0.5500,0.5500
1.2800,-0.1300,0.5500,0.5500
1.3300,-0.1300,0.5500,0.5500
1.3800,-0.1300,0.5500,0.5500
1.4300,-0.1300,0.5500,0.5500
1.4800,-0.1300,0.5500,0.5500
1.5300,-0.1300,0.5500,0.5500
1.5800,-0.1300,0.5500,0.5500
1.6300,-0.1300,0.5500,0.5500
1.6800,-0.1300,0.5500,0.5500
1.7300,-0.1300,0.5523,0.5523
1.7800,-0.0800,0.6083,0.6083
1.8300,-0.0800,0.6185,0.6185
1.8800,-0.0800,0.6325,0.6325
1.9300,-0.0800,0.6500,0.6500
1.9800,-0.0800,0.6500,0.6500
2.0300,-0.0800,0.6500,0.6500
2.0800,-0.0300,0.7000,0.7000
2.1300,-0.0300,0.7000,0.7000
2.1800,-0.0300,0.7000,0.7000
2.2300,-0.0300,0.7000,0.7000
2.2800,-0.0300,0.7000,0.7000
2.3300,-0.0300,0.7000,0.7000
2.3800,-0.0300,0.7000,0.7000
2.4300,-0.0300,0.7000,0.7000
2.4800,-0.0800,0.6500,0.6500
2.5300,-0.0800,0.6500,0.6500
2.5800,-0.0800,0.6500,0.6500
2.6300,-0.0800,0.6500,0.6500
2.6800,-0.0800,0.6500,0.6500
2.7300,-0.0800,0.6519,0.6519
2.7800,-0.0800,0.6576,0.6576
2.8300,-0.0800,0.6671,0.6671
2.8800,-0.1300,0.6325,0.6325
2.9300,-0.1300,0.6500,0.6500
2.9800,-0.1800,0.6265,0.6265
3.0300,-0.1800,0.6500,0.6500
3.0800,-0.1800,0.6708,0.6708
3.1300,-0.2300,0.6519,0.6519
3.1800,-0.2800,0.6403,0.6403
3.2300,-0.3300,0.6265,0.6265
3.2800,-0.3300,0.6265,0.6265
3.3300,-0.3800,0.6042,0.6042
3.3800,-0.4300,0.5831,0.5831
3.3800,-0.4800,0.5701,0.5701
