# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.8900,-2.0200,0.3354,0.3354
-3.8900,-2.0700,0.3606,0.3606
-3.8900,-2.1200,0.3354,0.3354
-3.9400,-2.1700,0.3640,0.3640
-3.9900,-2.2200,0.3808,0.3808
-3.9900,-2.2700,0.3808,0.3808
-4.0400,-2.3200,0.3905,0.3905
-4.0400,-2.3700,0.3808,0.3808
-4.0900,-2.4200,0.3905,0.3905
-4.1400,-2.4700,0.4031,0.4031
-4.1900,-2.5200,0.4243,0.4243
-4.2400,-2.5700,0.4243,0.4243
-4.2400,-2.6200,0.4243,0.4243
-4.2900,-2.6700,0.4301,0.4301
-4.3400,-2.7200,0.4472,0.4472
-4.3400,-2.7700,0.4272,0.4272
-4.3900,-2.8200,0.4472,0.4472
-4.4400,-2.8700,0.4743,0.4743
-4.4900,-2.9200,0.4950,0.4950
-4.5400,-2.9700,0.4950,0.4950
-4.5400,-3.0200,0.4924,0.4924
-4.5900,-3.0700,0.5000,0.5000
-4.6400,-3.1200,0.5148,0.5148
-4.6900,-3.1700,0.5315,0.5315
-4.7400,-3.2200,0.5315,0.5315
-4.7900,-3.2700,0.5315,0.5315
-4.7900,-3.3200,0.5148,0.5148
-4.8400,-3.3700,0.5315,0.5315
-4.8900,-3.4200,0.5408,0.5408
-4.9400,-3.4700,0.5590,0.5590
-4.9900,-3.4700,0.5590,0.5590
-5.0400,-3.5200,0.5831,0.5831
-5.0900,-3.5700,0.6042,0.6042
-5.1400,-3.6200,0.6265,0.6265
-5.1900,-3.6200,0.6185,0.6185
-5.2400,-3.6700,0.6500,0.6500
-5.2900,-3.7200,0.6708,0.6708
-5.3400,-3.7700,0.6946,0.6946
-5.3900,-3.7700,0.6801,0.6801
-5.4400,-3.8200,0.7159,0.7159
-5.4900,-3.8700,0.7382,0.7382
-5.4900,-3.9200,0.7211,0.7211
-5.5400,-3.9700,0.7382,0.7382
-5.5400,-4.0200,0.7159,0.7159
-5.5900,-4.0700,0.7433,0.7433
-5.5900,-4.1200,0.7280,0.7280
-5.5900,-4.1700,0.7159,0.7159
-5.5900,-4.2200,0.7071,0.7071
-5.5900,-4.2700,0.7018,0.7018
-5.5900,-4.3200,0.7000,0.7000
-5.5900,-4.3700,0.7000,0.7000
-5.5400,-4.4200,0.6500,0.6500
-5.5400,-4.4700,0.6519,0.6519
-5.4900,-4.5200,0.6083,0.6083
-5.4900,-4.5700,0.6185,0.6185
-5.4900,-4.6200,0.6325,0.6325
-5.4400,-4.6700,0.6042,0.6042
-5.4400,-4.7200,0.6265,0.6265
-5.3900,-4.7700,0.6042,0.6042
-5.3900,-4.8200,0.6265,0.6265
-5.3400,-4.8700,0.6042,0.6042
-5.2900,-4.9200,0.5701,0.5701
-5.2400,-4.9700,0.5385,0.5385
-5.1900,-4.9700,0.5220,0.5220
-5.1400,-4.9700,0.5099,0.5099
-5.0900,-4.9700,0.4924,0.4924
-5.0400,-4.9700,0.4717,0.4717
-4.9900,-4.9700,0.4472,0.4472
-4.9400,-4.9700,0.4272,0.4272
-4.8900,-4.9200,0.3808,0.3808
-4.8400,-4.9200,0.3640,0.3640
-4.7900,-4.9200,0.3536,0.3536
-4.7400,-4.9200,0.3500,0.3500
-4.6900,-4.9200,0.3500,0.3500
-4.6400,-4.9200,0.3500,0.3500
-4.5900,-4.8700,0.3000,0.3000
-4.5400,-4.8700,0.3000,0.3000
-4.4900,-4.8700,0.3041,0.3041
-4.4400,-4.8700,0.3162,0.3162
-4.3900,-4.8700,0.3162,0.3162
-4.3400,-4.8700,0.2915,0.2915
-4.2900,-4.8200,0.3162,0.3162
-4.2400,-4.8200,0.3041,0.3041
-4.1900,-4.8200,0.2915,0.2915
-4.1400,-4.7700,0.3162,0.3162
-4.0900,-4.7700,0.3041,0.3041
-4.0400,-4.7700,0.3000,0.3000
-3.9900,-4.7200,0.3162,0.3162
-3.9400,-4.7200,0.3162,0.3162
-3.8900,-4.7200,0.2915,0.2915
-3.8400,-4.6700,0.3162,0.3162
-3.7900,-4.6700,0.3041,0.3041
-3.7400,-4.6700,0.2915,0.2915
-3.6900,-4.6200,0.3162,0.3162
-3.6400,-4.6200,0.3041,0.3041
-3.5900,-4.6200,0.2915,0.2915
-3.5400,-4.5700,0.3162,0.3162
-3.4900,-4.5700,0.3041,0.3041
-3.4400,-4.5700,0.2915,0.2915
-3.3900,-4.5200,0.3162,0.3162
-3.3400,-4.5200,0.3041,0.3041
-3.2900,-4.4700,0.3162,0.3162
-3.2400,-4.4700,0.3162,0.3162
-3.1900,-4.4700,0.3041,0.3041
-3.1400,-4.4200,0.3162,0.3162
-3.0900,-4.4200,0.3162,0.3162
-3.0400,-4.4200,0.3041,0.3041
-2.9900,-4.3700,0.3162,0.3162
-2.9400,-4.3700,0.3162,0.3162
-2.8900,-4.3700,0.3041,0.3041
-2.8400,-4.3200,0.3041,0.3041
-2.7900,-4.3200,0.3162,0.3162
-2.7400,-4.3200,0.3041,0.3041
-2.6900,-4.3200,0.2915,0.2915
-2.6400,-4.2700,0.3162,0.3162
-2.5900,-4.2700,0.3041,0.3041
-2.5400,-4.2700,0.2915,0.2915
-2.4900,-4.2200,0.3041,0.3041
-2.4400,-4.2200,0.3041,0.3041
-2.3900,-4.2200,0.2915,0.2915
-2.3400,-4.1700,0.3041,0.3041
-2.2900,-4.1700,0.3041,0.3041
-2.2400,-4.1700,0.2915,0.2915
-2.1900,-4.1200,0.3041,0.3041
-2.1400,-4.1200,0.3041,0.3041
-2.0900,-4.1200,0.2915,0.2915
