# x_m,y_m,w_tr_right_m,w_tr_left_m
-7.1300,3.4600,0.6021,0.6021
-7.1800,3.2600,0.6000,0.6000
-7.2300,3.0600,0.5852,0.5852
-7.2800,2.8600,0.5701,0.5701
-7.3300,2.6600,0.5701,0.5701
-7.3800,2.4600,0.5523,0.5523
-7.4300,2.2600,0.5523,0.5523
-7.4800,2.0600,0.5500,0.5500
-7.5300,1.8600,0.5385,0.5385
-7.5800,1.6600,0.5385,0.5385
-7.6300,1.4600,0.5220,0.5220
-7.6300,1.2600,0.5220,0.5220
-7.6800,1.0600,0.5500,0.5500
-7.7300,0.8600,0.5500,0.5500
-7.7800,0.6600,0.5385,0.5385
-7.7800,0.4600,0.5500,0.5500
-7.7800,0.2600,0.5701,0.5701
-7.8300,0.0600,0.6185,0.6185
-7.7300,-0.1400,0.7280,0.7280
-7.5300,-0.2900,0.6185,0.6185
-7.3300,-0.3900,0.5701,0.5701
-7.1300,-0.4400,0.5590,0.5590
-6.9300,-0.4900,0.5590,0.5590
-6.7300,-0.4900,0.5852,0.5852
-6.5300,-0.5400,0.6000,0.6000
-6.3300,-0.5900,0.6000,0.6000
-6.1300,-0.6400,0.5852,0.5852
-5.9300,-0.6900,0.6000,0.6000
-5.7300,-0.7400,0.5852,0.5852
-5.5300,-0.7900,0.5701,0.5701
-5.3300,-0.8400,0.5701,0.5701
-5.1300,-0.8900,0.5590,0.5590
-4.9300,-0.9400,0.5590,0.5590
-4.7300,-0.9900,0.5590,0.5590
-4.5300,-1.0400,0.5523,0.5523
-4.3300,-1.0400,0.5701,0.5701
-4.1300,-1.0400,0.5500,0.5500
-3.9300,-1.0900,0.6185,0.6185
-3.7300,-1.0900,0.6500,0.6500
-3.5300,-1.0900,0.6671,0.6671
-3.3300,-1.0400,0.6946,0.6946
-3.1300,-0.9400,0.6519,0.6519
-3.0800,-0.7400,0.6500,0.6500
-3.0300,-0.5400,0.6185,0.6185
-2.9800,-0.3400,0.6042,0.6042
-2.8800,-0.1400,0.6000,0.6000
-2.8300,0.0600,0.5852,0.5852
-2.8300,0.2600,0.5852,0.5852
-2.7800,0.4600,0.6000,0.6000
-2.5800,0.6100,0.6403,0.6403
-2.3800,0.6600,0.5852,0.5852
-2.1800,0.7100,0.6000,0.6000
-1.9800,0.7100,0.6021,0.6021
-1.7800,0.6600,0.6021,0.6021
-1.5800,0.6600,0.6325,0.6325
-1.3800,0.6100,0.6500,0.6500
-1.1800,0.5600,0.6519,0.6519
-0.9800,0.5100,0.6671,0.6671
-0.7800,0.4100,0.6083,0.6083
-0.5800,0.3600,0.6185,0.6185
-0.3800,0.3100,0.6185,0.6185
-0.1800,0.2600,0.6083,0.6083
0.0200,0.2100,0.6000,0.6000
0.2200,0.1600,0.5852,0.5852
0.4200,0.1600,0.5852,0.5852
0.6200,0.1100,0.6000,0.6000
0.8200,0.1100,0.6021,0.6021
1.0200,0.1100,0.6500,0.6500
1.2200,0.1100,0.7000,0.7000
1.4200,0.1600,0.7500,0.7500
1.6200,0.3100,0.7649,0.7649
1.6700,0.5100,0.7649,0.7649
1.7200,0.7100,0.7649,0.7649
1.7700,0.9100,0.7566,0.7566
1.7700,1.1100,0.7071,0.7071
1.8200,1.3100,0.7071,0.7071
1.8200,1.5100,0.7000,0.7000
1.8200,1.7100,0.7071,0.7071
1.8700,1.9100,0.8078,0.8078
1.8700,2.1100,0.8559,0.8559
1.8700,2.3100,0.9000,0.9000
1.8200,2.5100,0.9513,0.9513
1.6200,2.7100,1.0700,1.0700
1.4200,2.8600,1.0966,1.0966
1.2200,2.9600,1.1068,1.1068
1.0200,3.0600,1.1402,1.1402
0.8200,3.1600,1.1543,1.1543
0.6200,3.2100,1.1236,1.1236
0.4200,3.3100,1.1543,1.1543
0.2200,3.4100,1.1180,1.1180
0.0200,3.4600,1.1180,1.1180
-0.1800,3.5600,1.0770,1.0770
-0.3800,3.5600,1.0920,1.0920
-0.5800,3.6100,1.0512,1.0512
-0.7800,3.6100,0.9823,0.9823
-0.9800,3.6600,1.0012,1.0012
-1.1800,3.6600,1.0000,1.0000
-1.3800,3.6100,0.9500,0.9500
-1.5800,3.6100,0.9618,0.9618
-1.7800,3.6100,1.0000,1.0000
-1.9800,3.5600,0.9500,0.9500
-2.1800,3.5600,0.9708,0.9708
-2.3800,3.4600,0.8631,0.8631
-2.5800,3.4100,0.8000,0.8000
-2.7800,3.3100,0.7071,0.7071
-2.9800,3.2100,0.6708,0.6708
-3.1800,3.1100,0.6083,0.6083
-3.3800,2.9600,0.5408,0.5408
