# x_m,y_m,w_tr_right_m,w_tr_left_m
0.4400,0.6900,0.5000,0.5000
0.4900,0.6900,0.5000,0.5000
0.5400,0.6900,0.5000,0.5000
0.5900,0.6900,0.5000,0.5000
0.6400,0.6900,0.5025,0.5025
0.6900,0.6900,0.5099,0.5099
0.7400,0.6900,0.5220,0.5220
0.7900,0.6900,0.5385,0.5385
0.8400,0.6900,0.5385,0.5385
0.8900,0.7400,0.5385,0.5385
0.9400,0.7400,0.5500,0.5500
0.9900,0.7400,0.5385,0.5385
1.0400,0.7400,0.5220,0.5220
1.0900,0.7900,0.5099,0.5099
1.1400,0.7900,0.5220,0.5220
1.1900,0.8400,0.4924,0.4924
1.2400,0.8400,0.5148,0.5148
1.2900,0.8400,0.5385,0.5385
1.3400,0.8900,0.5025,0.5025
1.3900,0.8900,0.5099,0.5099
1.4400,0.9400,0.4743,0.4743
1.4900,0.9400,0.4924,0.4924
1.5400,0.9900,0.4610,0.4610
1.5900,0.9900,0.4743,0.4743
1.6400,0.9900,0.4717,0.4717
1.6900,1.0400,0.4717,0.4717
1.7400,1.0400,0.4743,0.4743
1.7900,1.0400,0.4610,0.4610
1.8400,1.0400,0.4472,0.4472
1.8900,1.0900,0.4743,0.4743
1.9400,1.0900,0.4610,0.4610
1.9900,1.1400,0.4743,0.4743
2.0400,1.1400,0.4924,0.4924
2.0900,1.1400,0.4717,0.4717
2.1400,1.1900,0.4924,0.4924
2.1900,1.1900,0.4743,0.4743
2.2400,1.1900,0.4610,0.4610
2.2900,1.1900,0.4528,0.4528
2.3400,1.2400,0.4924,0.4924
2.3900,1.2400,0.4743,0.4743
2.4400,1.2900,0.4743,0.4743
2.4900,1.2900,0.4924,0.4924
2.5400,1.2900,0.4924,0.4924
2.5900,1.3400,0.4743,0.4743
2.6400,1.3400,0.4924,0.4924
2.6900,1.3900,0.4528,0.4528
2.7400,1.3900,0.4610,0.4610
2.7900,1.3900,0.4717,0.4717
2.8400,1.4400,0.4472,0.4472
2.8900,1.4400,0.4528,0.4528
2.9400,1.4400,0.4610,0.4610
2.9900,1.4900,0.4272,0.4272
3.0400,1.5400,0.4031,0.4031
3.0900,1.5400,0.4272,0.4272
3.1400,1.5400,0.4243,0.4243
3.1900,1.5900,0.4243,0.4243
3.2400,1.6400,0.4243,0.4243
3.2900,1.6900,0.4301,0.4301
3.2900,1.7400,0.4031,0.4031
3.2900,1.7900,0.3808,0.3808
3.3400,1.8400,0.4123,0.4123
3.3400,1.8900,0.4031,0.4031
3.3400,1.9400,0.4000,0.4000
3.3900,1.9900,0.4500,0.4500
3.3900,2.0400,0.4500,0.4500
3.3900,2.0900,0.4500,0.4500
3.3900,2.1400,0.4528,0.4528
3.3400,2.1900,0.4123,0.4123
3.3400,2.2400,0.4272,0.4272
3.2900,2.2900,0.4031,0.4031
3.2900,2.3400,0.4301,0.4301
3.2400,2.3900,0.4000,0.4000
3.1900,2.4400,0.3500,0.3500
3.1400,2.4900,0.3000,0.3000
3.0900,2.4900,0.3000,0.3000
3.0400,2.4900,0.3000,0.3000
2.9900,2.4900,0.3000,0.3000
2.9400,2.4900,0.3000,0.3000
2.8900,2.4900,0.3000,0.3000
2.8400,2.4900,0.2915,0.2915
2.7900,2.5400,0.2693,0.2693
2.7400,2.5400,0.2915,0.2915
2.6900,2.5400,0.2915,0.2915
2.6400,2.5400,0.2693,0.2693
2.5900,2.5900,0.2693,0.2693
2.5400,2.5900,0.2915,0.2915
2.4900,2.5900,0.2915,0.2915
2.4400,2.5900,0.2693,0.2693
2.3900,2.6400,0.2915,0.2915
2.3400,2.6400,0.3000,0.3000
2.2900,2.6400,0.2915,0.2915
2.2400,2.6400,0.2693,0.2693
2.1900,2.6400,0.2550,0.2550
2.1400,2.6900,0.3000,0.3000
2.0900,2.6900,0.3000,0.3000
2.0400,2.6900,0.3000,0.3000
1.9900,2.6900,0.3000,0.3000
1.9400,2.6900,0.3041,0.3041
1.8900,2.6900,0.3162,0.3162
1.8400,2.7400,0.3808,0.3808
1.7900,2.7400,0.4000,0.4000
1.7400,2.7400,0.4000,0.4000
1.6900,2.7400,0.4000,0.4000
1.6400,2.7400,0.4000,0.4000
1.5900,2.7400,0.4000,0.4000
1.5400,2.7400,0.4000,0.4000
1.4900,2.7400,0.4000,0.4000
1.4400,2.7400,0.4000,0.4000
1.3900,2.7400,0.4000,0.4000
1.3400,2.7900,0.4500,0.4500
1.2900,2.7900,0.4500,0.4500
1.2400,2.7900,0.4500,0.4500
1.1900,2.7900,0.4500,0.4500
1.1400,2.7900,0.4528,0.4528
1.0900,2.7900,0.4610,0.4610
1.0400,2.7900,0.4743,0.4743
0.9900,2.7900,0.4924,0.4924
0.9400,2.7400,0.4500,0.4500
0.8900,2.7400,0.4500,0.4500
0.8400,2.7400,0.4500,0.4500
0.7900,2.7400,0.4500,0.4500
0.7400,2.6900,0.4000,0.4000
0.6900,2.6900,0.4000,0.4000
0.6400,2.6900,0.4031,0.4031
0.5900,2.6400,0.3640,0.3640
0.5400,2.6400,0.3808,0.3808
0.4900,2.6400,0.4000,0.4000
0.4400,2.6400,0.4000,0.4000
0.3900,2.6400,0.4000,0.4000
0.3400,2.5900,0.3500,0.3500
0.2900,2.5900,0.3500,0.3500
0.2400,2.5900,0.3500,0.3500
0.1900,2.5900,0.3500,0.3500
0.1400,2.5900,0.3500,0.3500
0.0900,2.5900,0.3354,0.3354
0.0400,2.5900,0.3162,0.3162
-0.0100,2.5900,0.3041,0.3041
-0.0600,2.5900,0.3000,0.3000
-0.1100,2.5900,0.3000,0.3000
-0.1600,2.5900,0.3000,0.3000
-0.2100,2.5900,0.3000,0.3000
-0.2600,2.5900,0.3000,0.3000
-0.3100,2.5900,0.3000,0.3000
-0.3600,2.5900,0.3000,0.3000
-0.4100,2.5900,0.3041,0.3041
-0.4600,2.5900,0.3162,0.3162
-0.5100,2.5900,0.3354,0.3354
-0.5600,2.5900,0.3606,0.3606
-0.6100,2.5900,0.3808,0.3808
-0.6600,2.6400,0.3500,0.3500
-0.7100,2.6400,0.3500,0.3500
-0.7600,2.5900,0.4000,0.4000
-0.8100,2.5900,0.4000,0.4000
-0.8600,2.5400,0.4500,0.4500
-0.9100,2.4900,0.5000,0.5000
-0.9100,2.4400,0.4924,0.4924
-0.9100,2.3900,0.4743,0.4743
-0.9100,2.3400,0.4610,0.4610
-0.9100,2.2900,0.4528,0.4528
-0.9600,2.2400,0.5000,0.5000
-0.9600,2.1900,0.5000,0.5000
-0.9600,2.1400,0.5000,0.5000
-0.9600,2.0900,0.5000,0.5000
-0.9600,2.0400,0.5000,0.5000
-0.9600,1.9900,0.5025,0.5025
-0.9100,1.9400,0.4610,0.4610
-0.9100,1.8900,0.4743,0.4743
-0.9100,1.8400,0.4924,0.4924
-0.9100,1.7900,0.5148,0.5148
-0.9100,1.7400,0.5148,0.5148
-0.9100,1.6900,0.4924,0.4924
-0.9100,1.6400,0.4743,0.4743
-0.8600,1.5900,0.5099,0.5099
-0.8100,1.5400,0.5523,0.5523
-0.7600,1.4900,0.5831,0.5831
-0.7100,1.4400,0.5852,0.5852
-0.6600,1.3900,0.5590,0.5590
-0.6100,1.3400,0.5408,0.5408
-0.5600,1.2900,0.5315,0.5315
-0.5100,1.2400,0.5148,0.5148
-0.4600,1.1900,0.4924,0.4924
-0.4100,1.1900,0.5099,0.5099
-0.3600,1.1400,0.4743,0.4743
-0.3100,1.0900,0.4472,0.4472
-0.2600,1.0900,0.4717,0.4717
-0.2100,1.0400,0.4610,0.4610
-0.1600,0.9900,0.4610,0.4610
-0.1100,0.9400,0.4610,0.4610
-0.0600,0.8900,0.4610,0.4610
-0.0100,0.8400,0.4610,0.4610
0.0400,0.8400,0.4610,0.4610
0.0900,0.7900,0.4717,0.4717
0.1400,0.7900,0.4472,0.4472
0.1900,0.7400,0.4743,0.4743
0.2400,0.7400,0.4610,0.4610
0.2900,0.7400,0.4528,0.4528
0.3400,0.7400,0.4500,0.4500
0.3900,0.7400,0.4500,0.4500
