# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2200,0.1800,0.8000,0.8000
-0.2700,0.1800,0.8000,0.8000
-0.3200,0.1800,0.8000,0.8000
-0.3700,0.1800,0.8000,0.8000
-0.4200,0.1800,0.8000,0.8000
-0.4700,0.1800,0.8000,0.8000
-0.5200,0.1800,0.8000,0.8000
-0.5700,0.1800,0.8000,0.8000
-0.6200,0.1800,0.8000,0.8000
-0.6700,0.1800,0.8000,0.8000
-0.7200,0.1800,0.8000,0.8000
-0.7700,0.1800,0.8000,0.8000
-0.8200,0.1800,0.8000,0.8000
-0.8700,0.1800,0.8000,0.8000
-0.9200,0.1300,0.7500,0.7500
-0.9700,0.1300,0.7500,0.7500
-1.0200,0.1300,0.7500,0.7500
-1.0700,0.1300,0.7500,0.7500
-1.1200,0.1300,0.7500,0.7500
-1.1700,0.1300,0.7500,0.7500
-1.2200,0.1300,0.7500,0.7500
-1.2700,0.1300,0.7517,0.7517
-1.3200,0.1300,0.7566,0.7566
-1.3700,0.1300,0.7649,0.7649
-1.4200,0.0800,0.7280,0.7280
-1.4700,0.0800,0.7433,0.7433
-1.5200,0.0800,0.7616,0.7616
-1.5700,0.0300,0.7382,0.7382
-1.6200,0.0300,0.7632,0.7632
-1.6700,0.0300,0.7778,0.7778
-1.7200,-0.0200,0.7778,0.7778
-1.7700,-0.0700,0.7778,0.7778
-1.8200,-0.1200,0.7778,0.7778
-1.8700,-0.1700,0.7778,0.7778
-1.9200,-0.2200,0.7778,0.7778
-1.9700,-0.2700,0.7632,0.7632
-1.9700,-0.3200,0.7632,0.7632
-2.0200,-0.3700,0.7762,0.7762
-2.0200,-0.4200,0.7616,0.7616
-2.0200,-0.4700,0.7433,0.7433
-2.0200,-0.5200,0.7280,0.7280
-2.0700,-0.5700,0.7649,0.7649
-2.0700,-0.6200,0.7566,0.7566
-2.0700,-0.6700,0.7517,0.7517
-2.1200,-0.7200,0.7649,0.7649
-2.1200,-0.7700,0.7762,0.7762
-2.1700,-0.8200,0.7433,0.7433
-2.1700,-0.8700,0.7566,0.7566
-2.1700,-0.9200,0.7649,0.7649
-2.2200,-0.9700,0.7280,0.7280
-2.2200,-1.0200,0.7433,0.7433
-2.2200,-1.0700,0.7517,0.7517
-2.2700,-1.1200,0.7071,0.7071
-2.2700,-1.1700,0.7159,0.7159
-2.2700,-1.2200,0.7280,0.7280
-2.2700,-1.2700,0.7433,0.7433
-2.3200,-1.3200,0.7018,0.7018
-2.3200,-1.3700,0.7071,0.7071
-2.3200,-1.4200,0.7159,0.7159
-2.3200,-1.4700,0.7280,0.7280
-2.3700,-1.5200,0.6964,0.6964
-2.3700,-1.5700,0.7071,0.7071
-2.3700,-1.6200,0.7159,0.7159
-2.3700,-1.6700,0.7159,0.7159
-2.3700,-1.7200,0.6964,0.6964
-2.4200,-1.7700,0.7018,0.7018
-2.4200,-1.8200,0.7071,0.7071
-2.4200,-1.8700,0.7071,0.7071
-2.4200,-1.9200,0.7018,0.7018
-2.4200,-1.9700,0.7000,0.7000
-2.4700,-2.0200,0.7071,0.7071
-2.4700,-2.0700,0.7159,0.7159
-2.4700,-2.1200,0.7280,0.7280
-2.4700,-2.1700,0.7382,0.7382
-2.5200,-2.2200,0.7071,0.7071
-2.5200,-2.2700,0.7159,0.7159
-2.5700,-2.3200,0.6801,0.6801
-2.5700,-2.3700,0.6964,0.6964
-2.6200,-2.4200,0.6576,0.6576
-2.6200,-2.4700,0.6671,0.6671
-2.6200,-2.5200,0.6801,0.6801
-2.6700,-2.5700,0.6500,0.6500
-2.6700,-2.6200,0.6576,0.6576
-2.7200,-2.6700,0.6185,0.6185
-2.7200,-2.7200,0.6325,0.6325
-2.7700,-2.7700,0.6021,0.6021
-2.7700,-2.8200,0.6083,0.6083
-2.7700,-2.8700,0.6185,0.6185
-2.8200,-2.9200,0.5852,0.5852
-2.8200,-2.9700,0.6000,0.6000
-2.8200,-3.0200,0.6021,0.6021
-2.8700,-3.0700,0.5590,0.5590
-2.9200,-3.1200,0.5220,0.5220
-2.9200,-3.1700,0.5385,0.5385
-2.9200,-3.2200,0.5590,0.5590
-2.9200,-3.2700,0.5590,0.5590
-2.9700,-3.3200,0.5385,0.5385
-2.9700,-3.3700,0.5523,0.5523
-3.0200,-3.4200,0.5099,0.5099
-3.0200,-3.4700,0.5220,0.5220
-3.0700,-3.5200,0.4924,0.4924
-3.0700,-3.5700,0.5000,0.5000
-3.1200,-3.6200,0.4500,0.4500
-3.1200,-3.6700,0.4528,0.4528
-3.1200,-3.7200,0.4610,0.4610
-3.1200,-3.7700,0.4743,0.4743
-3.1200,-3.8200,0.4610,0.4610
-3.1700,-3.8700,0.4528,0.4528
